Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,AUT,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,14900,16500,18400,20900,20000,21000,23100,24000,25800,26100,27200,27800,36400,37700,38000,37800,37700,38700,40100,39900,42000,47400,63600,73000,87700,109000,118100,121300,127900,127200,138700,133561,135516,128449,137049,141968,149512,151070,150738,138942,176195,166729,162715,166251,162576,152056,149030,156761,130260,330226,121668,161093,0
Azerbaiyán,AZE,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22200,22200,19600,19500,17200,10100,8500,8012,7922,8175,9195,11090,12470,12777,13039,12008,10264,9885,15082,16597,15886,21910,23781,24009,20699,19960,28974,11648,15844,0
Burundi,BDI,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,300,300,400,400,500,500,500,500,600,600,400,900,900,900,900,900,900,900,900,1000,1000,1400,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bélgica,BEL,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,40800,40700,41000,40400,37300,36100,39900,42800,46000,48000,47800,43000,40400,39100,40400,43200,45300,45900,51200,59700,66500,70000,77100,109100,118700,141200,164700,182700,213000,233300,225906,178331,133682,132779,154218,151939,158016,173818,179019,249997,127677,131577,132099,130230,132976,141116,147324,145540,140674,137206,57072,73673,0
Benin,BEN,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,1400,1300,1000,1100,1000,1100,1200,1100,1100,1200,1100,1600,2000,2000,2000,2100,2700,2600,2600,1100,500,1200,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,0,0,0,0,0,0,0,0,1255,1381,1381,1728,648,1209,10,0,0,0,0,0,0
Burkina Faso,BFA,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,1600,1500,1200,1300,1300,1400,1600,1500,1600,1600,2300,2200,2300,2300,2300,2400,3600,2700,2800,2800,2200,2900,2800,3000,3000,3100,3300,1800,1800,3300,3368,1983,1257,1285,1415,1471,1512,1614,1413,1433,4235,3983,3856,3780,3672,3875,3861,3863,3988,4105,1790,3007,0
Bangladesh,BGD,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,13500,13000,14200,13400,13000,13700,14800,13500,13400,13700,14300,11800,13600,15000,15400,13100,14600,13000,13800,14600,15600,13000,12600,13100,12800,11900,5900,6313,6486,6464,7165,7403,7399,7971,11139,11308,16399,19299,26535,26996,59064,65364,55864,59728,70503,53061,68351,42827,50991,0
Bulgaria,BGR,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,17900,17800,18400,19000,19800,20100,22000,22200,22800,26600,27000,27000,34500,38000,39100,37000,38700,40000,39800,35900,37200,15300,16500,17300,16900,14700,13600,12700,14600,15200,12158,6687,2252,4577,7848,9691,12471,12221,15974,11237,11321,12297,11826,11736,11755,11768,12187,11748,11435,10111,6295,464,0
Bahrein,BHR,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,8300,7700,8300,8800,4700,5400,6200,6300,7200,8300,9500,10000,8700,9500,10100,10500,9600,8800,9400,10000,10900,10000,12900,14700,15200,13400,15400,14400,12300,20900,21303,20492,19752,28508,32488,0,0,0,0,69808,62473,60778,63711,52452,55980,57444,55592,54474,57094,57321,17591,29475,0
Bahamas,BHS,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,15900,16000,16500,17200,29900,32000,8200,9200,9100,8400,18100,18000,18300,19500,20200,18900,18900,16700,17700,17700,19300,20100,9100,9300,31100,31416,29395,26493,24455,29817,33211,33723,34402,33433,30267,26395,28393,30640,34188,53366,48535,49095,48017,54000,47733,31284,27092,0
Bosnia y Herzegovina,BIH,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,4300,4768,4530,4394,4570,0,0,0,0,1004,1359,1573,1060,750,552,420,81,0,0,0,108,44,0,0
Belarús,BLR,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35300,35300,35300,31800,5600,5700,6100,5772,5891,5545,6047,6211,5407,5646,6210,6371,5868,12101,14378,14608,17820,21168,22939,26857,29562,31676,35741,16611,12432,0
Belice,BLZ,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19855,31755,59089,71401,112760,120072,121581,141319,125681,141329,130792,95608,0
Bermudas,BMU,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,11800,11500,11900,11500,11400,14600,13800,14800,16400,17800,18500,16700,15000,15500,14900,15400,17400,15300,15900,16100,15600,15100,14000,12600,15300,16600,31700,34700,32000,24000,21566,20007,20560,28901,25764,25644,21978,24089,21088,19011,37019,40751,41974,33467,51017,42682,45722,54102,56592,49931,31354,45832,0
Brasil,BRA,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,137700,149300,156700,173200,204800,209100,206100,194900,193000,211100,232500,236900,240200,259900,337100,335100,367900,386200,401900,398700,415900,457700,405500,400100,408300,453500,483600,568600,609900,692600,628081,654106,627878,486777,486025,514700,560838,649738,647753,752225,841793,970561,1002565,952307,937437,944557,826943,803846,832683,814301,393769,529115,0
Barbados,BRB,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,100,200,400,300,400,500,600,600,600,300,400,300,300,300,500,1400,1100,700,700,700,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,BRN,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3700,3600,3400,3500,3600,4400,4400,5100,6700,9600,11800,12200,13600,13600,16200,12739,12237,11953,11812,13322,11808,12381,12128,13071,12274,12333,11672,10374,10920,10392,11624,11058,10743,11310,14091,4233,1186,0
Bhután,BTN,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,600,600,600,600,600,900,900,1000,1000,1100,1138,1297,1948,1890,2306,2467,2566,2720,2772,2706,3053,4146,3553,5820,8772,4640,6065,4215,5187,5067,1311,696,0
Botswana,BWA,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,1600,2700,2600,2600,2600,2800,3500,3300,4300,4600,4900,5800,6700,6300,3800,3600,4000,4200,4900,5400,5900,6703,7138,7304,7214,7885,8181,6905,7366,6105,6142,7681,7910,8422,9396,8304,7741,7933,7002,6774,6533,0,2593,0
República Centroafricana,CAF,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,3600,3600,3300,3400,3400,3700,3900,3800,4100,4200,4300,4000,4200,4100,4200,4300,4300,4300,4400,4400,3800,4500,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canadá,CAN,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,305200,292500,291400,348900,371900,363800,352900,348000,349200,357700,382000,383600,344000,325300,343600,351900,343000,333800,380900,370200,346800,257800,258700,243700,253500,282800,305800,310800,317800,319600,963468,982013,263906,1036092,988755,1018480,1042100,1188947,1200361,1198381,1234528,1245743,1280198,1263297,1290419,1322033,1359442,1443818,1250460,1215983,511637,571070,0
Europa Central y del Báltico,CEB,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,72700,88900,100300,105300,110900,120200,140700,143100,142900,150900,142600,119000,103300,118200,127900,127300,133300,133000,130000,133200,129000,93800,116900,143800,151200,158500,167200,183500,188200,205200,220821,237439,235443,268637,314685,347743,363872,397337,415443,405656,459987,458432,409115,407489,414473,420199,436849,484988,549291,566402,235446,275557,0
Suiza,CHE,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,84600,86500,83100,85700,87700,89500,89300,90500,93600,95300,97700,95900,109200,111400,111600,115800,122200,122700,132000,145900,152100,150800,157600,168900,174900,191200,218200,220800,250300,276300,289031,284899,242800,189121,144703,134839,125126,139124,158788,168280,224807,244994,257233,266128,263267,250094,229530,216436,219782,225755,81283,96369,0
Islas del Canal,CHI,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,24900,27000,24800,21200,21500,16600,14300,14800,14100,12500,13700,18300,20700,19200,20100,25300,26300,29000,35300,36000,40100,36600,48200,58600,68800,77800,93700,109300,119100,92500,87945,82942,78187,82789,86140,93003,94770,101008,108565,97473,108840,123739,125120,127631,124480,116532,116238,124316,134661,143964,72839,95001,0
China,CHN,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,21200,26600,27700,28800,34000,63000,51000,57300,69800,74000,92500,102200,127900,159700,176900,159200,196000,190300,200300,261600,325900,397600,493000,470200,510500,547800,572921,840911,932064,946354,1209900,1349269,1542564,1753550,1853088,2140124,2377789,2538667,2779741,3073450,3356756,3616026,3952098,4359033,4692008,4963752,3667920,3906386,0
Côte d'Ivoire,CIV,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,4300,3900,3800,4000,4000,4600,4900,4900,5100,5200,5600,10300,10400,10400,10700,6100,6100,6700,7100,5600,5400,4900,5000,4600,4300,4400,4600,3500,3500,6300,2342,716,0,0,0,0,0,0,0,0,5604,907,415,3912,4032,9068,9463,14884,14666,16616,8030,11812,0
Camerún,CMR,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,3800,2800,2300,4000,0,3700,0,7200,6500,10000,8300,8400,8500,8200,8100,8200,6100,6200,6200,9700,7100,7000,4100,4100,4200,3800,3800,6500,6600,5400,5580,10103,4720,9524,10337,10696,10925,11650,9471,9501,0,3036,4938,5640,5640,5499,8212,5640,5550,2336,1169,5017,0
"Congo, República Democrática del",COD,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,8300,7900,8100,8900,12000,19200,18600,15800,14100,13600,11800,12200,9200,7400,7600,3900,5000,5200,4500,4800,5100,3500,3000,2600,3900,0,0,0,0,0,0,5200,0,0,0,0,0,0,0,0,1945,2295,4781,11448,11580,12476,11513,18757,8271,7532,3787,4874,0
"Congo, República del",COG,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,3700,3700,3400,3600,3600,3800,4000,4000,4300,4400,4300,5300,5600,6100,6000,6400,6700,4400,4500,4700,4100,4800,4700,4900,4900,6300,5400,10200,10300,6000,6257,5235,4505,4783,0,0,0,0,0,0,3755,4817,7011,12132,10380,11462,10604,8439,4976,4990,1090,1929,0
Colombia,COL,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,145800,125200,115400,103300,75700,70300,69200,63500,69300,70100,65500,69400,157900,158800,133300,124100,123900,118200,118600,127000,116900,124500,147100,167200,181500,193700,195200,224800,234700,208600,199370,190465,179994,171933,153204,162095,175006,185872,187382,196298,226094,237570,254059,304365,349864,368947,366188,355039,358874,371985,139029,273874,0
Comoras,COM,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,1500,1500,1500,1500,1600,2400,4800,7300,7600,8100,6100,6700,6700,6700,6700,6600,6800,6800,6800,7100,7400,14600,14800,12100,13010,8745,8735,9434,16612,19905,19862,21086,12236,11560,10363,10658,10555,8148,7728,7989,8745,4868,9385,10205,4248,1625,0
Costa Rica,CRI,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,14400,14400,11600,12100,12300,11800,12000,10100,9300,9400,13800,12700,12600,11700,12400,8500,8400,9200,10800,11400,12500,13300,15100,16900,18300,26900,20800,24300,36900,32000,24297,32270,32605,31219,33517,36045,36170,37284,36786,33285,41600,43354,40081,42831,50239,41544,46405,48971,40014,44878,11696,19350,0
Estados pequeos del Caribe,CSS,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,35100,34100,35300,27400,28800,45500,60300,55300,54200,72100,76400,72600,99200,111600,113900,134100,136300,133600,133000,131800,126300,137200,134300,139300,144800,149500,137200,112900,114300,148100,138632,155940,137987,137727,100958,101132,99817,104274,104600,92285,126300,147475,171025,198637,252495,247773,245933,250510,242734,0,0,0,0
Cuba,CUB,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,15600,17900,19400,17400,15200,15800,17100,13300,17100,17500,17200,15900,18000,20300,17100,16000,18700,19400,17600,18900,19400,12000,9900,8600,12500,12800,14400,16800,19700,15700,12264,11728,9773,8998,10937,11484,11533,11874,11686,10653,21235,18302,15869,23292,15468,17592,20058,13144,8830,7146,2123,756,0
Curacao,CUW,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Islas Caimán,CYM,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chipre,CYP,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,2600,3100,4000,4300,2000,3500,4700,5200,5200,5400,6200,5700,5700,5900,6200,6100,6400,6400,6600,6700,7600,8000,10300,10800,11500,10900,10600,11500,12000,12100,12551,13321,15081,16908,19073,17392,17530,19131,19399,18556,15318,12430,13296,11724,9000,306,2994,8698,5456,3326,1118,1423,0
República Checa,CZE,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,12500,31900,39900,38900,42200,46000,60300,46100,47000,48000,39100,29300,18700,20000,20900,21700,22200,21800,22100,24200,22300,20200,23100,24800,23500,26100,26900,28300,29500,34800,40027,44164,46574,52127,66134,75295,75439,75830,78377,78153,72137,61476,44189,54948,48975,38304,43878,50387,70828,44051,9831,11231,0
Alemania,DEU,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,143100,153800,166100,151900,180300,176800,179300,181200,183500,183200,187300,186600,188500,195400,201900,214700,234100,269100,294300,310800,344200,406600,458000,459200,521000,526600,566600,645900,673300,709800,738297,762178,796129,844881,937143,1023858,1084821,1126699,1154472,1080553,971803,1021899,985668,954874,946082,967453,962803,955827,922648,896647,312142,368400,0
Djibouti,DJI,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,1500,1500,2800,3100,3200,3800,3900,3200,3900,2100,3900,3900,3900,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinamarca,DNK,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,50600,64700,69800,70700,67200,66100,67700,67600,70000,74300,69700,64000,69200,77700,62000,75400,82800,85000,84600,87500,90600,87400,91100,101900,97200,101600,107800,118600,114600,106300,109369,110492,97713,90641,99598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
República Dominicana,DOM,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,8600,3900,3900,4200,4200,3700,10000,11300,10700,5900,5000,4300,5600,6100,6800,6800,6200,5300,6100,6000,9500,4500,4300,3900,3000,2800,1300,1400,1400,400,0,0,0,0,0,0,0,0,0,0,1552,2286,2303,1908,1584,1421,1170,0,0,7062,2497,3106,0
Argelia,DZA,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,14800,17400,19300,26200,29300,31900,34400,32900,35000,34800,36500,38200,38700,40300,43400,46200,50500,48400,49400,45700,44100,45600,45900,45400,45500,47000,45100,49600,44200,36400,40202,49274,46015,44315,48531,45692,44822,44136,31026,52731,53088,53286,54292,55516,60066,65940,73465,74714,77463,76049,18719,27650,0
Asia oriental y el Pacífico (excluido altos ingresos),EAP,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,305900,335000,352000,355500,364500,410900,420500,460300,478800,489500,591400,604300,637600,699800,765400,740800,804100,823400,889900,910000,1039100,1138400,1304200,1223700,1241700,1149800,1215806,1522837,1615064,1586155,2067761,2219532,2454357,2702754,2798473,3092984,3847811,4199862,4541090,4876787,5445123,5872462,6431220,6919472,7387203,7629160,4901478,4732454,0
inicial del dividendo demográfico,EAR,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,851900,785500,848000,903200,922300,1010000,1094400,1135000,1180300,1264700,1329500,1335400,1356200,1443000,1538700,1537900,1539900,1575700,1595600,1628300,1603200,1559100,1692000,1695900,1828700,1804800,1925100,1985900,1992200,2043100,2077309,2197664,2027711,2065419,2360942,2441945,2670479,2893009,2852615,2986969,3940298,4158415,4357526,4574583,4976915,5220321,5700375,5886141,6219620,6098318,2897143,3558135,0
Asia oriental y el Pacífico,EAS,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,804900,823000,853800,1094900,1147700,1222500,1232000,1250500,1262800,1289200,1393400,1440800,1518900,1618700,1744300,1745100,1819300,1996000,2142700,2236200,2467300,2644000,2898700,2976700,3010400,2784900,2884999,3230312,3472124,3421353,3681701,3879996,4174539,4441653,4597611,4885072,6334923,6627354,6896897,7391410,8025736,8575632,9231486,9792841,10258516,10575048,6395637,6315893,0
Europa y Asia central (excluido altos ingresos),ECA,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006600,897200,830600,703400,611000,512600,583000,585153,614331,607061,639807,699078,716247,783495,839583,939316,948612,1121064,1270621,1365184,1519945,1654043,1759692,1797519,1893325,1966459,2023942,1138030,1545075,0
Europa y Asia central,ECS,"Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3665600,4699400,4752600,4875900,5087200,5391600,5502800,5933900,6236642,6291425,6044393,6113024,6481841,6300264,6602653,6941099,7106264,6941775,7595375,8015873,7963663,7995554,8165780,8426406,8693238,8799738,9059612,9217856,3825022,4864895,0
